Name,Weight (lbs),Height (inches)
"Warfield, Eric",200,72
"Scott, Charles",242,71
"Harris, Travis",241,74
"Harrison, Marvin",185,72
"Martin, Vaughn",300,76
"Andrews, John",251,77
"Riley, Jack",220,75
"Andrews, Willie",190,70
"Simms, Matt",210,75
"Fowler, Charlie",265,74
"Carpenter, Ron",261,76
"Sloter, Kyle",218,76
"Parker, Sirr",183,70
"Jackson, Steven",240,74
"Reynolds, Jamal",260,75
"Sargent, Kevin",300,78
"Finau, Tevita",288,77
"Johnson, Richard",182,67
"Arkin, David",307,77
"McBride, Tod",208,73
"Titensor, Glen",263,76
"Smith, Garrison",310,73
"Hanley, Dick",175,70
"Waldrop, Rob",276,73
"Diggs, Na'il",240,76
"Clark, Jeremy",220,75
"Young, Steve",215,74
"Taylor, Steve",204,75
"Kosel, Stan",190,71
"Session, Derek",225,73
"Youso, Frank",257,76
"Parenton, Michael",287,74
"Perry, Vernon",211,74
"Patrick, Frank",190,71
"Randolph, Terry",184,72
"Mangum, Kris",252,76
"Easley, Kenny",206,75
"Harper, Roger",223,74
"Martin, Keshawn",195,71
"Payne, Kevin",212,72
"Nettles, Doug",179,72
"Elewonibi, Mohammed",286,76
"Adams, Jamal",211,73
"Johnson, Dennis",200,73
"Fanning, Mike",255,78
"Oelerich, John",192,72
"Autry, Denico",270,77
"Case, Frank",243,76
"Harbour, James",192,73
"Harris, Jim",280,76
"Panelli, John",200,71
"Feldhausen, Paul",260,78
"Kostos, Marty",185,71
"Fitzgerald, Greg",265,76
"Hape, Patrick",254,76
"Halpern, Willie",220,71
"Fields, Joe",250,74
"Lowry, Dean",296,78
"Saipaia, Blaine",315,75
"Easterling, Ray",195,72
"Berry, Eric",212,72
"Guy, Lawrence",305,76
"Palmer, Nate",248,74
"Francis, Jon",207,71
"Harper, Jack",190,71
"Maurer, Andy",265,75
"Remo, Roger",237,75
"Lepsis, Matt",290,76
"Adams, Kyle",255,76
"Otto, Michael",308,77
"Allison, Neely",190,72
"Whigham, Larry",218,74
"Reeves-Maybin, Jalen",230,72
"Carothers, Don",225,77
"Van Raaphorst, Dick",218,72
"LaTendresse, Travis",200,73
"Elder, Eddie",185,70
"Cash, Keith",248,76
"Hampton, Casey",325,73
"Fisher, Ed",249,75
"Mathews, Derrick",221,72
"Schmitt, Pete",248,73
"Reid, Mike",255,75
"Brice, Kentrell",200,71
"Flanagan, Ed",245,75
"Mayberry, James",210,71
"Flowers, Bernie",190,74
"Webster, Tim",195,72
"Knight, George",180,
"Carter, Delone",232,69
"Galea, Cody",255,75
"Kane, Rick",200,71
"Fowler, Jalston",254,71
"Kelly, Jim",212,76
"Young, Glenn",253,75
"Glockson, Norm",230,74
"Floyd, Owen",195,72
"Malone, Michael",210,76
"Marion, Dutch",180,69
"Famiglietti, Gary",225,72
"Carver, Shante",253,77
"Del Bello, Jack",190,73
"Roberts, Cliff",260,75
"Sandland, Beau",255,76
"Adams, Pete",260,76
"Gibson, Laurence",305,78
"Matthews, Al",190,71
"Patterson, Elvis",190,71
"Parmele, Jalen",225,71
"Gantt, Jerry",266,76
"Allen, Earl",193,71
"Goodwin, Tod",184,72
"Basca, Nick",170,68
"Baldwin, Don",263,75
"Neill, Ryan",253,75
"Kielbasa, Max",185,73
"Quinn, Kelly",220,73
"Foster, Jason",300,75
"Allen, Harvey",215,75
"Franklin, Jerrell",287,75
"Waskiewicz, Jim",240,76
"Keith, Kenton",198,71
"Atkins, Billy",196,73
"Carswell, Dwayne",290,75
"Nelson, Jimmy",180,71
"Parrish, Gus",305,77
"Chandler, Tyson",331,78
"Dickerson, Kori",240,76
"Feggins, Howard",190,70
"Knox, Bill",190,69
"Carter, Bruce",240,74
"Harmon, Jason",209,71
"LeBeau, Dick",185,73
"Bell, Ricky",205,72
"Daniel, Robert",275,78
"Gordon, Lamar",223,73
"Carman, Jon",329,79
"Evansen, Paul",240,75
"Lamaak, Ben",320,76
"Hamilton, Andy",190,75
"Gordy, John",248,75
"Peter, Jason",295,76
"Mason, Eddie",232,72
"Edwards, Mike",186,70
"Pennington, Leon",225,73
"Dardar, Ramsey",264,74
"Geisinger, Justin",315,74
"Gannon, Chris",265,78
"Hawkins, Josh",189,70
"Carr, Reggie",300,75
"Eschbach, Herb",190,72
"Harris, Napoleon",253,75
"Goff, Jonathan",241,74
"Thornton, Mike",296,73
"Talley, John",240,77
"Shaw, George",183,73
"Sanders, Barry",200,68
"Ford, Moses",220,74
"Barrett, Alex",245,75
"Ferrell, Bob",216,72
"Chambers, Kirk",315,79
"Tarbox, Bruce",230,74
"Sellers, Goldie",198,74
"Jessie, Ron",185,72
"Kalmanir, Tom",171,68
"Gipson, Tom",280,79
"Matthews, Kevin",300,75
"Chibane, Zack",293,77
"James, Clint",270,78
"Kennedy, Tom",218,72
"Marcol, Chester",190,72
"Tobeck, Robbie",297,76
"Schuber, Jim",160,68
"Marvin, Mickey",270,76
"Jackson, Steve",188,68
"Bagwell, Antoine",190,71
"Tabor, Tommy",,
"Ball, Raphael",181,70
"Hand, Omari",265,76
"Knight, Trevor",219,73
"Knox, Jeff",225,74
"Carden, Shane",218,74
"Thorson, Chad",247,74
"Gore, Frank",217,69
"Goings, Nick",225,72
"Richardson, Cyril",343,77
"Garrett, Mike",184,73
"Van Dyke, Jimmy",140,67
"Otterson, Ryan",291,77
"Schrage, Landon",225,77
"Baber, Billy",260,76
"Berhe, Nat",194,72
"Saunders, Buck",190,73
"Mays, Alvoid",172,69
"Reese, Darren",285,76
"Lewis, Alex",230,72
"James, Mil'von",196,70
"Jagade, Chick",213,72
"DeLisle, Jim",255,76
"Mace, Corey",287,75
"Goodman, Don",214,71
"Longacre, Matt",260,75
"Castete, Jesse",180,71
"Canale, Rocco",240,71
"Hargrove, Anthony",282,75
"Peters, Volney",237,76
"Norris, Jared",240,73
"Hartley, Frank",268,74
"Riggs, Gerald",230,73
"Barton, Greg",195,74
"Embree, John",194,76
"Lewis-Harris, Chris",185,70
"Ezerins, Vilnis",217,74
"Johnson, Jimmy",187,74
"Irwin, Bronson",316,76
"Walker, Cleo",219,75
"Atkins, Gene",201,71
"Davis, Shockmain",205,72
"Jackson, Monte",193,71
"Fleming, Steve",262,78
"Nienhuis, Doug",307,78
"Goodman, Herbert",205,71
"Lee, Khari",253,76
"Evans, Donald",282,74
"Edwards, Stan",208,72
"Marshall, Warren",218,72
"Iwuchukwu, Bobby",246,74
"Kinard, Terry",199,73
"Reutershan, Randy",182,70
"Tillison, Ed",225,72
"Francis, Josh",238,72
"Parriott, Bill",165,70
"Flemister, Zeron",250,76
"Leeuwenburg, Jay",300,75
"Fosdick, Bob",225,70
"Peterson, Joe",185,70
"Nordquist, Mark",246,76
"Lechler, Shane",230,74
"Thomas, Derrick",232,72
"Tinsley, Jess",201,72
"Jackson, Andrew",299,77
"Janus, Paul",294,76
"Johnson, Bryan",250,76
"English, Auston",250,75
"Washington, Tim",184,69
"Volz, Wilbur",192,72
"Paysinger, Spencer",249,74
"O'Neil, Ed",236,75
"France, Dan",312,78
"Klapstein, Earl",220,72
"Toomer, Korey",235,74
"Albanese, Dom",190,69
"Marshall, Byron",201,69
"Pape, Oran",180,71
"Lee, Darron",232,73
"Thomas, Todd",262,77
"Evans, Norm",250,77
"Shackleford, Ken",322,77
"Forde, Brian",225,74
"Richards, Dick",194,72
"Omon, Xavier",227,71
"Chevrier, Randy",291,74
"Smith, D'Joun",193,71
"Deayon, Donte",158,69
"Dierdorf, Dan",275,75
"Klotovich, Mike",180,70
"Roan, Michael",250,75
"Fisher, Jeff",188,71
"Rankin, Louis",205,73
"Spiller, C.J.",200,71
"Weatherhead, Troy",218,74
"Walker, Paul",210,75
"Mattox, Marv",170,69
"Dawson, Bill",240,75
"Harper, Maurice",227,76
"Cook, Dalvin",213,71
"Sauer, George",195,74
"Campbell, Ibraheim",208,71
"Zarnas, Gust",220,70
"TerBush, Caleb",225,77
"Veldheer, Jared",321,80
"Kelson, Derrick",190,72
"Davis, Brad",204,70
"Dion, Terry",254,78
"Fua, Alani",234,77
"Hansen, Don",235,74
"Faulk, Trev",254,75
"Goodwin, Hunter",270,77
"Floyd, Marcus",180,69
"Griffin III, Robert",218,74
"Renfro, Will",233,77
"Frase, Paul",267,77
"Keane, Jim",217,76
"Castiglia, Jim",208,71
"Yenga, Youri",231,73
"Zuver, Merle",198,73
"Anderson, Jerry",198,71
"Kell, Paul",217,74
"Nelson, Chuck",175,71
"Fitzgibbon, Paul",176,68
"Schifino, Jake",203,73
"Jones, Jarvis",248,75
"Okam, Frank",350,77
"Waldsmith, Ralph",225,69
"Buckner, DeForest",300,79
"Nash, Zack",260,76
"Flaherty, Harry",232,73
"Lehan, Michael",200,72
"Schau, Ryan",300,78
"Owens, Burgess",200,74
"Pickel, Bill",265,77
"Farmer, Dave",205,72
"Landry, Tom",195,73
"Sullivan, Tre",200,72
"Ogle, Rick",230,75
"Jackson, Marcus",260,77
"Taylor, Ken",185,73
"Younger, Kenny",228,72
"Ogle, Kendall",231,72
"Hardin, Greg",171,70
"Haggerty, Doc",205,72
"Thompson, Zach",265,77
"Vital, Lionel",195,69
"Thompson, Ricky",176,72
"Harwell, Nick",195,71
"Francois, Rob",255,74
"Allison, Jim",215,72
"McFarland, M.J.",255,77
"Irvin, Ray",176,71
"Lewis, Tahaun",175,70
"Agudosi, Carlton",205,78
"Kellin, Kevin",267,78
"Roberts, Fred",200,73
"Fletcher, Terrell",196,68
"Acho, Emmanuel",240,74
"Owens, Marv",203,71
"O'Bradovich, Ed",255,75
"DeLamielleure, Joe",254,75
"Thompson, David",200,68
"Cifers, Ed",227,74
"Nichols, Hamilton",209,71
"Lambrecht, Mike",271,73
"Pisarkiewicz, Steve",205,74
"Lintzenich, Joe",187,71
"Sinkfield, Terrell",200,73
"Regner, Tom",255,73
"Mayes, Alonzo",260,76
"Footman, Dan",290,77
"Jasper, Josh",171,71
"Cousins, Kirk",210,75
"Klever, Rocky",225,75
"Agee, Sam",218,73
"Patterson, Will",237,73
"Eaglin, Larry",195,75
"Young, Joe",204,72
"Armstrong, Norris",165,70
"Gantt, Greg",188,71
"Taylor, Fred",228,73
"Harris, Bernardo",250,74
"Bowman, NaVorro",242,72
"Cushing, Brian",255,75
"Marshall, Vincent",175,68
"Kobel, Craig",265,74
"Frazier, Paul",188,68
"Kadela, Dave",304,78
"El-Mashtoub, Hicham",288,74
"Therezie, Robenson",212,69
"Aguilar, Devin",200,71
"Jewett, Bob",198,74
"Woods, Robert",190,72
"Leak, Marcus",210,72
"McAlister, James",205,73
"Garcia, Bubba",185,71
"Estes, Larry",255,78
"Gardner, Moose",220,73
"Morgan, Jordan",313,75
"Dekdebrun, Al",185,71
"Mackert, Roy",202,74
"Kinney, George",250,76
"Washington, DeAndre",204,68
"Kline, Jiggs",196,73
"Jackson, Tyoka",280,74
"Gladieux, Bob",195,71
"Johnson, Teyo",245,78
"Vargo, Larry",215,75
"Jeralds, Luther",235,75
"Harden, Derrick",175,73
"Hankton, Cortez",200,72
"Lazetich, Pete",245,75
"Erdlitz, Dick",181,70
"Price, Josiah",243,76
"Vandermade, Lenny",291,74
"Ivy, Mortty",239,73
"Johnson, Randy",205,75
"Martineau, Roy",210,72
"Davidson, James",242,75
"Sanders, Frank",207,74
"Amos, Adrian",214,72
"Schiechl, Marc",252,74
"Federico, Creig",205,74
"Thomas, Donnie",245,74
"Carr, Jimmy",206,73
"Winchester, James",240,75
"Lewis, Kenny",190,72
"Mack, Rico",239,76
"O'Connell, Kevin",225,77
"Harris, Tommie",295,75
"Onobun, Fendi",260,78
"Beadles, Terrance",300,75
"Amano, Eugene",300,75
"Ridge, Houston",270,76
"Richey, Wade",205,75
"Quin, Glover",207,72
"Faison, Derrick",200,76
"Mass, Gabriel",295,77
"Peelle, Justin",251,76
"Charles, Stefan",320,77
"Lanier, Willie",245,73
"Daniels, Phillip",302,77
"Adams, Kris",194,75
"Jordan, Dion",275,78
"Hall, Chad",187,68
"Estrada, Matt",196,70
"Felt, Dick",185,73
"Walker, Tyrunn",310,75
"Kasap, Mike",255,74
"Getty, Charlie",265,76
"Tiller, Morgan",195,73
"Waller, Bill",190,73
"Paul, Tito",195,72
"Watts, Elbert",205,73
"Gob, Art",230,76
"Anthony, Marc",196,71
"Van Horne, Keith",265,78
"Elflein, Pat",300,75
"Gilleylen, Curenski",213,71
"Thomas, Marvin",264,77
"Mahoney, Roger",205,72
"Sutton, Cam",182,71
"Franta, Chief",220,73
"Felton, Robert",324,76
"Wheatley, Terrence",185,69
"Golding, Joe",184,72
"Fields, Greg",260,79
"Folsom, Steve",235,77
"Haffner, Mike",200,74
"Young, Charle",234,76
"Harper, D.J.",211,69
"Washington, Thaddaeus",245,71
"Peery, Gordon",155,70
"Calloway, Ernie",255,78
"Ricard, Lester",228,76
"Breida, Matt",181,70
"Toneff, Bob",260,74
"Jefferson, Rickey",198,71
"Johnson, Darryl",295,76
"Davis, Scott",280,79
"Mackey, Chad",205,72
"Quinn, Jeff",205,75
"Atchason, Jack",215,76
"Asiata, Isaac",325,75
"Hasselbeck, Matt",235,76
"Tipton, Rico",240,74
"Land, Mel",243,75
"James, Mike",223,70
"Alford, Jay",304,75
"Ieremia, Mekeli",244,74
"Najvar, Jordan",260,78
"Hansen, Dale",223,75
"Gaddis, C.J.",210,72
"Sanchez, Lupe",193,70
"Nunn, Freddie Joe",262,76
"Atkins, Corey",227,72
"Samuel, Asante",185,70
"Chelf, Don",235,75
"Hall, Daeshon",265,77
"Kaplan, Sam",166,
"Weissenhofer, Ron",235,75
"Anderson, Bill",190,74
"Semes, Bernie",188,67
"Nunley, Dayonne",184,68
"Kimble, Frank",205,77
"Johnson, Ed",296,74
"Yarbrough, Eddie",259,75
"Ferentz, James",285,74
"Christensen, Jeff",202,75
"Walczak, Mark",255,78
"Baker, Toby",210,75
"Schreiber, Larry",210,72
"George, Tearrius",275,76
"Jackson, D'Qwell",242,72
"Christensen, Koester",195,70
"Washington, Kelley",217,75
"Bannon, Shane",245,75
"Wells, Kent",295,76
"James, Jesse",311,76
"Fisher, Travis",194,70
"Johnson, Mike",253,77
"Ekanem, Ken",257,75
"Usher, Nick",216,75
"Mason, Shaq",310,73
"Campbell, Dick",227,73
"Nkang, Chad",215,71
"Taliaferro, Lorenzo",225,72
"Fletcher, Donnie",195,73
"Hall, Travis",295,77
"Diehl, John",265,79
"Jessie, Tim",190,71
"McCareins, Jay",193,71
"Kennedy, Tom",210,73
"Negus, Fred",208,73
"Little, Jack",235,76
"Revis, Darrelle",198,71
"Caldwell, Alan",176,72
"Acker, Kenneth",195,72
"Nosich, John",230,75
"Pedersen, Win",223,75
"Duke, Austin",155,68
"Hollins, Deon",230,72
"Owens, John",255,75
"Foote, Larry",239,73
"Reed, David",190,72
"Ferentz, Brian",282,75
"Robinson, Denard",213,72
"Harrison, Edwin",314,75
"Jones, Marvin",198,74
"Osborne, Jim",250,75
"Finn, Bernie",180,70
"Gozdowski, Hippo",1,
"Longa, Steve",241,73
"Fiore, Dave",293,76
"Rizzo, Joe",220,73
"Reedy, Bernard",175,69
"Lewis, Jermaine",183,67
"Thomas, Cam",200,73
"McCarthy, Kyle",205,73
"Franklin, Noah",313,77
"Uzomah, C.J.",265,78
"Lawrence-Stample, Nile",320,73
"Adams, Charlie",210,74
"Barron, Alex",315,80
"Gillard, Larry",270,76
"Leftridge, Dick",240,74
"Artoe, Lee",234,75
"Apsit, Marger",200,71
"Kiwanuka, Mathias",267,77
"Zombek, Joe",195,73
"Kaufman, Mel",221,74
"Young, Roynell",181,73
"Griffin, Shaquill",200,73
"Tate, Rodney",190,71
"Scott, Victor",200,72
"McManus, Brandon",201,75
"Jenkins, Fletcher",258,74
"Jones, David",210,75
"Schichtle, Henry",190,74
"Towbridge, Keith",262,77
"Jennings, Brian",242,77
"Barnes, Tyree",196,72
"Tolbert, Jim",200,76
"Tenner, Bob",212,72
"Bailey, Harold",195,74
"Johnson, Jerry",290,72
"Wright, Kendall",191,70
"Kovell, Paul",233,74
"Torbor, Reggie",258,74
"Kinney, Kelvin",264,78
"Ellor, Bud",205,74
"Freeny, Jonathan",255,74
"Jones, Sidney",181,72
"Ford, Cole",210,74
"Walker, Sean",178,72
"Nolan, John",185,70
"Jackson, Mark",180,69
"Dickinson, Tom",175,68
"Bauer, A.C.",210,74
"Leo, Charlie",240,72
"Dendy, Patrick",190,72
"Feliciano, Jon",325,76
"Mays, Stafford",252,74
"Tarr, Jerry",190,72
"Garrett, Budge",200,69
"Hills, Tony",304,77
"Jones, Andy",222,73
"Farrow, Kenneth",219,69
"Shepard, Sterling",194,70
"Nealy, Spencer",277,77
"Eckwood, Jerry",198,72
"Halapin, Mike",310,77
"Pinion, Bradley",229,77
"Kiley, Roger",180,72
"Ambrose, Johnny Ray",183,72
"Gandy, Wayne",315,77
"Bellamy, Josh",211,72
"Mains, Gil",243,74
"Phipps, Mike",208,75
"Tennell, Derek",245,77
"Christopher, Herb",195,70
"Koutouvides, Niko",245,74
"Gaiser, George",255,76
"Martin, Manny",190,70
"O'Neal, Jim",230,73
"Fluellen, David",224,71
"Baschnagel, Brian",187,71
"Keith, John",207,72
"Sampson, Archie",206,73
"Sanford, Brian",280,74
"Jackson, Toby",257,77
"Nisby, John",235,73
"Sims, Pat",330,74
"Hamilton, Derrick",207,76
"Fontenot, Jerry",300,75
"Francis, James",257,77
"Lemonier, Corey",255,75
"Wafer, Carl",250,76
"Warren, Mike",249,73
"Parrish, Roscoe",175,69
"Harrison, Josh",305,76
"Leonard, Jim",202,72
"Johnson, Raylee",272,75
"Del Gaizo, Jim",198,73
"Terrill, Craig",296,74
"Harper, Eric",240,75
"Shade, Sam",211,72
"Fischer, Bill",248,74
"Wathen, Pete",175,70
"Sanchez, Zack",185,71
"Gibbons, Mike",262,76
"Lee, Kevin",194,73
"Tinsley, Keith",184,69
"Darns, Phil",245,75
"Goff, Robert",280,75
"Davis, Dominique",210,75
"Ashmore, Marion",215,72
"Carter, Brandon",319,78
"Pittman, Michael",225,72
"Fontenot, Albert",287,76
"Anderson, LeAndre",288,76
"Raiola, Donovan",293,74
"Johnson, Brandon",245,77
"Ingram, Darryl",228,75
"Chatman, Antonio",185,68
"Harrell, Willard",182,68
"McCray, Kelcie",202,74
"Lawrence, Devaroe",303,74
"West, Lyle",210,72
"Schweder, John",224,73
"Davis, James",218,71
"Young, Joe",245,75
"Vardian, Johnny",167,68
"Schwab, Brice",302,79
"Ford, Trevor",188,72
"Glass, Glenn",205,73
"James, Nick",344,77
"Cadet, Travaris",210,73
"Wade, Jim",175,71
"Banks, Leroy",243,75
"Bell, Brian",238,74
"Leggett, Brad",270,76
"Thornton, John",297,75
"Gerardi, Patsy",165,
"German, Jammi",192,73
"Diggs, Shelton",190,73
"Kirk, Randy",232,74
"Mack, Kevin",212,72
"Elliss, Luther",318,77
"Walker, Reggie",244,72
"LeClerc, Roger",235,75
"Ferguson, Howie",218,74
"Ker, Crawford",293,75
"Iglesias, Juaquin",205,72
"Thompson, Craig",244,74
"Anderson, Jonathan",235,73
"Egnew, Michael",260,77
"Goodnight, Owen",200,72
"Barwin, Connor",264,76
"Quigley, Ryan",188,75
"Laird, Jim",194,72
"Marecic, Owen",245,72
"Mauro, Josh",282,78
"Hammill, Ching",158,67
"Johnson, George",205,73
"Johnson, Jeremi",275,71
"Beck, Jordan",235,74
"Cameron, John",175,70
"Richards, Randy",303,75
"Martha, Paul",187,72
"Gilbert, Lewis",225,76
"Reynolds, Quentin",205,73
"Hardy, Justin",192,70
"Wilson, Brandon",200,71
"Asmus, Jim",195,74
"Mathieu, Tyrann",186,69
"Jenkins, DeRon",192,71
"Bowie, Michael",320,77
"Sanders, Lonnie",207,75
"Nelson, Terry",233,74
"Thompson, Tommy",221,73
"Nalbone, John",255,76
"Glick, Gary",195,74
"Franck, George",176,72
"Unutoa, Morris",284,73
"Ellis, Shaun",290,77
"Hanson, Joselio",185,69
"Davis, Dennis",185,72
"Washington, Fred",268,77
"Westbrooks, Lavelle",185,72
"Hasty, James",211,72
"Powell, Walt",189,72
"Lewis, John",175,70
"Gotshalk, Len",259,76
"Hardy, David",180,67
"Tarasovic, George",245,76
"Goodwin, Myrl",195,73
"May, Walt",205,73
"Thompson, Johnny",215,70
"Gbaja-Biamila, Kabeer",249,76
"Davis, Harper",173,71
"Zirinsky, Walt",187,71
"Ogunjobi, Larry",304,75
"Matthews, Henry",203,75
"Hagans, Marques",205,70
"Wachholtz, Kyle",248,76
"Watson, John",249,76
"Denham, Anthony",235,76
"Jackson, Brad",230,72
"Elmore, John",293,75
"Gordon, Steve",288,75
"Newton, Nate",335,75
"Rideaux, Darrell",171,69
"Reynolds, Bob",265,77
"Elmore, Doug",188,72
"Faircloth, Art",190,72
"Inzer, Drew",305,76
"O'Brien, Bill",180,72
"Calhoun, Duke",200,74
"Phillips, Ryan",252,76
"Davidson, Joe",200,72
"Randle, Ervin",250,73
"Ward, Paul",247,75
"Randolph, Al",205,74
"Richards, Perry",205,74
"Zaeske, Paul",200,74
"Jenkins, Cullen",305,74
"Riley, Eric",230,75
"Edwards, Dovonte",182,72
"Osborn, Dave",208,72
"Garzoni, Mike",218,71
"Gaydosh, Linden",310,75
"Manusky, Greg",235,73
"Pericak, Will",300,75
"Kakela, Ike",220,72
"Weatherspoon, Cephus",182,73
"Yerges, Howard",155,69
"Norman, Joe",220,73
"Frazier, Al",180,71
"Schreiber, Adam",295,76
"Anderson, Mel",175,71
"Worthy, Jerel",308,74
"Franklin, Julius",316,75
"Goodspeed, Mark",270,77
"Thomas, Tra",316,79
"Setron, Joe",195,69
"Jiggetts, Dan",274,76
"Konovsky, Bob",246,74
"Evans, Demetric",275,76
"Reed, Jake",213,75
"Warren, Jamorris",196,72
"O'Neal, Calvin",235,73
"Vaughn, Vickiel",204,73
"Gordon, Ira",275,75
"Gandy, Dylan",295,75
"Hall, Ron",190,72
"Walker, DeMarcus",280,76
"Jones, Arthur",320,75
"Harley, Chic",165,68
"Taylor, Mike",230,73
"Hopkins, Dustin",206,74
"Taylor, Chuck",210,70
"Rickards, Paul",190,73
"Yates, Bob",240,73
"Parkinson, Doc",205,73
"Parker, D.J.",195,71
"Sapp, Theron",203,73
"Davis, Sonny",215,71
"Kodba, Joe",190,71
"Richardson, Paul",183,72
"Rascher, Amby",210,74
"Hardy, Cliff",188,72
"Goldsmith, Wen",202,72
"Dickel, Dan",225,75
"Lawson, Shaq",270,75
"Sharp, Dan",235,74
"Perez, Mike",210,73
"Larpenter, Carl",235,76
"Thompson, Don",205,74
"Kirven, Korren",280,77
"Keller, Dustin",255,74
"Fairbanks, Don",253,75
"Salimu, Abasi",310,77
"Mathews, Greg",209,75
"Engstrom, Art",185,69
"Jenkins, Jelani",240,72
"Oubre, Louis",268,76
"Walker, Tray",199,74
"Kapele, John",240,72
"Caldwell, Scott",196,70
"Pearman, Alvin",196,70
"Carter, Kent",235,75
"Johnson, Gary",257,74
"Koloto, Fred",297,75
"Galloway, David",277,75
"Harris, Ra'Shon",300,77
"Ray, Baby",249,78
"Dixon, Ahmad",205,72
"Spence, Noah",251,74
"Schubert, Eric",185,68
"Vrabel, Mike",261,76
"Paremore, Bob",190,71
"Lewis, Mark",239,74
"Vujnovich, Jeremy",300,77
"Keys, Howard",240,75
"Field, Harry",226,73
"Owens, Ike",190,73
"Ferrell, Kerry",173,71
"Dickerson, Ricardo",250,73
"West, Anthony",205,72
"Hogan, Kevin",217,75
"Campofreda, Nick",240,73
"Robinson, Trey",203,73
"Goodlow, Eugene",185,74
"Gardner, Ellis",257,77
"Pelluer, Steve",204,76
"Glamp, Joe",180,71
"Gonzalez, Noe",210,73
"Jemail, Jimmy",165,66
"Scott, DeQuincy",260,73
"Ambrose, Damario",270,77
"Barnes, Earnest",262,76
"Harrison, Bob",185,71
"Floyd, Malcom",225,77
"Macaulay, John",254,75
"Adams, Stan",215,74
"VanDeSteeg, William",256,76
"Kirner, Gary",255,75
"Pirro, Rocco",226,72
"Harris, Walt",196,71
"Zettel, Anthony",270,76
"Vardell, Tommy",238,73
"Davis, Stephen",230,72
"Miller, Von",250,75
"Rawlings, Bob",1,
"Florence, Anthony",185,72
"Hargrave, James",224,71
"James, Chanceller",205,73
"Lane, Austen",265,78
"Brown, Richie",236,74
"Seigler, Dexter",178,69
"Kaminski, Larry",245,74
"Cox, Perrish",190,72
"Verser, David",200,73
"McCarthy, Shawn",227,78
"Gaiters, Bob",210,71
"Toner, Ed",250,74
"Hadd, Gary",274,76
"Zaunbrecher, Godfrey",240,74
"Riley, Eron",207,75
"Gales, Kenny",173,71
"Lakes, Roland",279,76
"Fischer, Clarke",165,68
"McCoy, Gerald",300,76
"Mayer, Shawn",202,72
"Bancroft, Hugh",,
"Madu, Mossis",197,72
"Reinfeldt, Mike",192,74
"Sharper, Jamie",239,75
"Faucette, Chuck",242,75
"Ward, David",230,74
"Davis, Paul",188,73
"MacDonnell, Allan",170,70
"Noble, Brandon",305,74
"DeGraffenreid, Allen",200,75
"Firkser, Anthony",220,75
"Yepremian, Garo",175,68
"Christiansen, Bob",230,76
"Weathers, Carl",220,74
"Seymour, Paul",252,77
"King, Matt",245,75
"Olatoye, Deji",205,73
"Carson, Howard",233,74
"Schwartz, Mitchell",320,77
"Parker, Jim",273,75
"Chatman, Ricky",230,74
"Odegard, Don",177,72
"Stuckey, Darrell",212,71
"Anderson, Colt",195,70
"Leeson, Nick",255,73
"Griffin, Michael",215,72
"Abraham, John",263,76
"Reeves, Bryan",195,71
"Kessler, Cody",215,73
"Barker, Dick",180,69
"Dareus, Marcell",331,75
"Morris, Alfred",224,70
"Walker, Darnell",168,68
"Davidson, Ben",275,80
"Thomas, Joe",227,73
"Flaherty, Dick",200,70
"Larsen, Tyler",335,76
"Young, Vince",232,77
"Fleck, P.J.",191,70
"Norton, Zach",184,72
"Iwuh, Brian",239,72
"Agnone, Robert",256,78
"Watson, Remi",174,72
"Barbay, Roland",260,76
"Sharpton, Darryl",235,71
"Johnson, Jadar",181,73
"Peterman, Eric",202,73
"Remmert, Dennis",215,75
"Keller, Ken",185,71
"Kern, Rex",190,71
"Goddard, Johnathan",245,72
"Petty, John",225,73
"Langley, T.J.",297,76
"Fortenberry, Reshod",275,77
"Hansen, Phil",273,77
"Pellegrini, Joe Jr.",270,74
"Conque, Zach",225,76
"Jerome, James",225,76
"Nesser, Al",195,72
"Webb, Allan",180,71
"Levanti, Lou",215,73
"Dawson, Curry",280,78
"Overbay, Nathan",260,77
"Neil, Dan",285,74
"Novak, Ken",268,79
"Teerlinck, John",248,77
"Wetzel, Ron",242,77
"Youngblood, George",205,75
"Lemon, Shawn",250,74
"Ryan, Shakeir",157,68
"Richmond, Greg",233,73
"Solder, Nate",325,80
"Schnarr, Steve",216,74
"Lascari, John",210,74
"Bausch, Frank",220,75
"Schultz, Charlie",231,75
"Thompson, Broderick",295,77
"Knapczyk, Ken",190,71
"Iverson, Duke",208,74
"Hall, Darryl",185,70
"Young, Al",180,70
"Gamble, Joel",260,74
"Young, Usama",195,71
"Leahy, Ryan",301,76
"Hastings, Andre",190,73
"Parrish, Scott",211,73
"Schaffnit, Pete",180,71
"Hatcher, Ron",215,71
"Campana, Al",180,71
"Richardson, Gloster",200,74
"Beauford, Clayton",190,71
"Davis, Vernon",248,75
"Baldinger, Gary",260,75
"Ridgle, Elston",260,78
"Baker, Zach",212,74
"Keeble, Jerry",230,75
"Lewis, Mike",261,76
"Kruger, Paul",270,76
"Baldwin, Al",201,74
"Palmer, David",180,68
"Marshall, Randy",237,77
"Dickson, Richard",245,74
"Canfield, Trevor",307,77
"Ward, Jihad",297,77
"Ham, C.J.",235,71
"Lauer, Larry",235,75
"Hardy, Carroll",185,72
